Município,Ano,Produto Interno Bruto a preços correntes (Mil Reais),"Impostos, líquidos de subsídios, sobre produtos a preços correntes (Mil Reais)",Valor adicionado bruto a preços correntes total (Mil Reais),Valor adicionado bruto a preços correntes da agropecuária (Mil Reais),Valor adicionado bruto a preços correntes da indústria (Mil Reais),"Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)","Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)"
Monte Santo do Tocantins (TO),2021,75004,1805,73199,43077,1550,7016,21556
Palmeiras do Tocantins (TO),2021,95357,2994,92364,27401,5989,10083,48891
Muricilândia (TO),2021,69465,1398,68067,28175,1324,6555,32013
Natividade (TO),2021,247340,18226,229115,50943,57012,53498,67661
Nazaré (TO),2021,58139,2557,55582,12437,2917,9373,30855
Nova Olinda (TO),2021,320311,58418,261893,33226,28270,112779,87617
Nova Rosalândia (TO),2021,100915,3071,97844,49602,2734,12705,32803
Novo Acordo (TO),2021,84723,4532,80192,27014,2521,15340,35317
Novo Alegre (TO),2021,35521,1102,34419,9297,1257,4639,19226
Novo Jardim (TO),2021,42672,1788,40884,9617,2723,5483,23061
Oliveira de Fátima (TO),2021,29469,817,28651,10866,755,3944,13086
Palmeirante (TO),2021,185349,8171,177178,85088,5025,35342,51724
Palmeirópolis (TO),2021,170118,9689,160429,54230,9342,39000,57857
Paraíso do Tocantins (TO),2021,1513693,228558,1285135,66861,202139,647925,368211
Paranã (TO),2021,315397,9021,306376,57932,139680,29270,79494
Pau D'Arco (TO),2021,91169,3605,87564,36196,1970,11713,37686
Pedro Afonso (TO),2021,848671,55264,793407,420746,135393,130680,106587
Peixe (TO),2021,733929,11114,722815,295280,287006,45271,95257
Pequizeiro (TO),2021,107606,4409,103198,41252,3260,14167,44519
Colméia (TO),2021,182796,12002,170793,41567,8275,60684,60267
Pindorama do Tocantins (TO),2021,85006,2925,82080,33421,2672,10967,35021
Piraquê (TO),2021,89940,1298,88642,54669,1430,6323,26219
Pium (TO),2021,361915,7654,354261,253143,10438,28827,61852
Ponte Alta do Bom Jesus (TO),2021,66158,3250,62908,16379,2742,9907,33880
Ponte Alta do Tocantins (TO),2021,121170,6109,115061,30046,4452,19758,60805
Porto Alegre do Tocantins (TO),2021,47043,1765,45277,11067,1993,6966,25251
Porto Nacional (TO),2021,3649421,827379,2822042,504037,594708,1268067,455230
Praia Norte (TO),2021,93139,1931,91208,13436,3670,10982,63120
Presidente Kennedy (TO),2021,65165,3593,61573,18096,2447,11578,29451
Pugmil (TO),2021,82663,6770,75893,25069,7808,18569,24447
Recursolândia (TO),2021,91480,1612,89868,45604,1700,8462,34102
Riachinho (TO),2021,68536,1350,67186,19681,1685,7723,38098
Rio da Conceição (TO),2021,29142,608,28535,1582,1303,4383,21266
Rio dos Bois (TO),2021,85928,1988,83940,49060,1876,8525,24479
Rio Sono (TO),2021,111443,2967,108476,44816,3729,12207,47725
Sampaio (TO),2021,145863,2008,143856,89575,3455,12570,38256
Sandolândia (TO),2021,116736,3768,112968,69974,2224,12802,27968
Santa Fé do Araguaia (TO),2021,175927,8441,167486,78913,4574,27046,56953
Santa Maria do Tocantins (TO),2021,139630,2367,137264,94479,3384,11795,27606
Santa Rita do Tocantins (TO),2021,180273,10494,169778,114174,3708,30223,21673
Santa Rosa do Tocantins (TO),2021,307685,15449,292236,177193,7930,65327,41786
Santa Tereza do Tocantins (TO),2021,48098,1681,46417,12489,2017,6807,25104
Santa Terezinha do Tocantins (TO),2021,41931,1118,40813,13774,1015,4757,21266
São Bento do Tocantins (TO),2021,73590,3145,70444,16584,1700,11641,40519
São Félix do Tocantins (TO),2021,36541,974,35567,11872,1042,6035,16617
São Miguel do Tocantins (TO),2021,255814,5484,250331,127108,5606,27538,90078
São Salvador do Tocantins (TO),2021,49467,1507,47960,13227,1306,7023,26404
São Sebastião do Tocantins (TO),2021,61804,1384,60421,12540,3517,7889,36475
São Valério (TO),2021,156734,7579,149155,87585,4580,24105,32885
Silvanópolis (TO),2021,240329,13779,226550,116883,11768,56858,41042
Sítio Novo do Tocantins (TO),2021,132862,4965,127897,28314,5546,21917,72119
Sucupira (TO),2021,532374,3488,528886,494498,2556,12620,19212
Taguatinga (TO),2021,318253,15661,302592,81241,32126,68222,121002
Taipas do Tocantins (TO),2021,35246,909,34337,9909,872,4183,19373
Talismã (TO),2021,146708,4690,142018,93130,3816,17592,27479
Palmas (TO),2021,10333419,1349530,8983888,262385,1102005,5101297,2518201
Tocantínia (TO),2021,191373,3748,187625,104743,5179,17663,60040
Tocantinópolis (TO),2021,372642,41131,331511,21117,38015,111188,161191
Tupirama (TO),2021,118839,6201,112637,62585,2490,28900,18663
Tupiratins (TO),2021,38619,951,37668,8507,931,4545,23685
Wanderlândia (TO),2021,183424,11508,171917,45034,20030,28649,78203
Xambioá (TO),2021,471020,46774,424246,39626,230239,68701,85680
Açailândia (MA),2021,3828780,456077,3372703,492701,1393406,971179,515417
Afonso Cunha (MA),2021,85068,2059,83009,34865,2623,14429,31093
Água Doce do Maranhão (MA),2021,101672,4104,97568,7597,5455,24565,59951
Alcântara (MA),2021,148797,6589,142208,16395,6573,34499,84741
Aldeias Altas (MA),2021,249450,9580,239870,69463,8151,45162,117093
Altamira do Maranhão (MA),2021,71526,2609,68916,21461,1829,12873,32753
Alto Alegre do Maranhão (MA),2021,303156,36053,267103,12131,11963,142262,100747
Alto Alegre do Pindaré (MA),2021,251786,13497,238289,32376,8299,56454,141160
Alto Parnaíba (MA),2021,578991,19926,559065,362238,34199,105146,57483
Amapá do Maranhão (MA),2021,70213,3956,66257,13420,2680,17853,32305
Amarante do Maranhão (MA),2021,388693,16685,372008,126800,9025,85808,150376
Anajatuba (MA),2021,207643,10103,197540,47951,5317,46535,97737
Anapurus (MA),2021,149133,7543,141591,26456,5527,41094,68515
Apicum-Açu (MA),2021,133979,6508,127471,17379,4425,31615,74052
Araguanã (MA),2021,101754,4224,97530,13738,2437,19664,61691
Araioses (MA),2021,282823,11298,271525,39404,7668,67096,157357
Arame (MA),2021,290362,15319,275044,80030,7961,65944,121109
Arari (MA),2021,313303,21638,291666,66124,9556,94407,121580
Axixá (MA),2021,97443,5182,92262,12953,4088,25535,49686
Bacabal (MA),2021,1514711,183985,1330725,80708,98685,765050,386282
Bacabeira (MA),2021,599322,40382,558940,15906,349715,115239,78081
Bacuri (MA),2021,122906,4454,118451,10524,3717,27420,76790
Bacurituba (MA),2021,39600,1326,38274,5230,1107,7821,24116
Balsas (MA),2021,6307610,847088,5460522,1893662,251291,2906431,409137
Barão de Grajaú (MA),2021,268565,38464,230101,14667,11433,133790,70211
Barra do Corda (MA),2021,889327,78590,810737,72029,38108,363493,337106
Barreirinhas (MA),2021,635796,57548,578249,40861,37519,272281,227587
Belágua (MA),2021,60734,1806,58928,3650,1782,12043,41454
Bela Vista do Maranhão (MA),2021,107575,4849,102726,9902,5434,27412,59979
Benedito Leite (MA),2021,73162,1768,71394,31274,2949,12272,24899
Bequimão (MA),2021,138140,8389,129751,14503,4145,38048,73055
Bernardo do Mearim (MA),2021,105126,6299,98828,13947,41813,16381,26687
Boa Vista do Gurupi (MA),2021,67554,5021,62533,6232,1877,21193,33230
Bom Jardim (MA),2021,411430,16972,394458,119422,12711,87892,174432
Bom Jesus das Selvas (MA),2021,375736,23397,352339,97617,13001,88885,152836
Bom Lugar (MA),2021,117983,4358,113625,27724,2822,23564,59515
Brejo (MA),2021,328697,18395,310302,55276,10625,95261,149140
Brejo de Areia (MA),2021,71082,2954,68128,14415,1825,14913,36976
Buriti (MA),2021,277995,10307,267688,47174,9392,64900,146221
Buriti Bravo (MA),2021,238710,11250,227460,65192,13038,58066,91163
Buriticupu (MA),2021,748132,51237,696895,168367,26164,233222,269142
Buritirana (MA),2021,122497,4409,118088,34610,2956,22254,58268
Cachoeira Grande (MA),2021,60992,1360,59632,7274,1579,10894,39886
Cajapió (MA),2021,70673,2096,68577,8164,2094,12656,45663
Cajari (MA),2021,128111,3110,125001,24326,2790,20718,77167
Campestre do Maranhão (MA),2021,214038,18042,195996,74812,6281,53305,61599
Cândido Mendes (MA),2021,146821,7286,139534,16027,7213,37010,79285
Cantanhede (MA),2021,153436,7432,146004,8272,6847,41941,88945
Capinzal do Norte (MA),2021,284011,6794,277217,16155,143556,54428,63078
Carolina (MA),2021,525940,26085,499854,244756,16538,135367,103194
Carutapera (MA),2021,202040,12337,189703,25672,7578,60293,96160
Caxias (MA),2021,2112941,224972,1887969,86629,189685,925895,685759
Cedral (MA),2021,78602,2565,76037,14621,2246,15515,43655
Central do Maranhão (MA),2021,58363,2949,55415,4534,1738,12236,36906
Centro do Guilherme (MA),2021,103761,5146,98615,16947,2425,23146,56097
Centro Novo do Maranhão (MA),2021,200805,9339,191466,43306,4558,44135,99468
Chapadinha (MA),2021,894509,85665,808844,37813,37520,405356,328154
Cidelândia (MA),2021,183588,9988,173599,67041,6532,38381,61646
Codó (MA),2021,1648786,130371,1518415,78366,499450,459503,481095
Coelho Neto (MA),2021,462763,28964,433799,64532,22076,139562,207628
Colinas (MA),2021,553253,41128,512125,74295,36699,222290,178841
Conceição do Lago-Açu (MA),2021,147232,3956,143276,30247,3817,26252,82959
Coroatá (MA),2021,533670,39128,494542,39685,30131,187482,237245
Cururupu (MA),2021,264588,12801,251787,37782,7186,81221,125598
Davinópolis (MA),2021,190230,16753,173478,14112,27286,62210,69869
Dom Pedro (MA),2021,262586,25568,237018,18836,22402,112864,82916
Duque Bacelar (MA),2021,86926,3804,83122,11939,2988,19932,48264
Esperantinópolis (MA),2021,159009,10815,148193,16415,8143,54299,69337
Estreito (MA),2021,1138794,53350,1085443,78195,618797,226655,161796
Feira Nova do Maranhão (MA),2021,118019,5534,112486,52147,2546,22596,35196
Fernando Falcão (MA),2021,100433,2655,97779,40675,2898,15107,39098
Formosa da Serra Negra (MA),2021,202181,10726,191455,62397,4327,47943,76788
Fortaleza dos Nogueiras (MA),2021,346720,14338,332381,186549,12342,79210,54281
Fortuna (MA),2021,143321,7474,135847,29988,5756,36560,63543
Godofredo Viana (MA),2021,2658714,45274,2613440,10339,2171528,377208,54365
Gonçalves Dias (MA),2021,150088,8159,141929,21607,13371,39731,67220
Governador Archer (MA),2021,91925,4134,87790,16152,3256,22226,46155
Governador Edison Lobão (MA),2021,375030,47912,327118,19779,121494,98750,87095
Governador Eugênio Barros (MA),2021,118448,5618,112830,27073,3296,26973,55488
Governador Luiz Rocha (MA),2021,71094,3078,68016,16163,2456,16661,32736
Governador Newton Bello (MA),2021,84191,2342,81849,23343,2317,13823,42366
Governador Nunes Freire (MA),2021,258016,19256,238760,28836,20641,86533,102749
Graça Aranha (MA),2021,54166,2751,51414,8968,2262,13330,26854
Grajaú (MA),2021,1149837,91535,1058303,187243,214466,393253,263341
Guimarães (MA),2021,93414,3496,89918,17898,3674,19557,48789
Humberto de Campos (MA),2021,184411,8801,175610,14571,4606,42331,114102
Icatu (MA),2021,178973,6425,172548,16641,5154,37642,113111
Igarapé do Meio (MA),2021,370692,44244,326448,26477,157669,67770,74531
Igarapé Grande (MA),2021,117754,7221,110533,14200,7721,35385,53227
Imperatriz (MA),2021,7693511,1106471,6587039,55440,1213083,4091562,1226954
Itaipava do Grajaú (MA),2021,107310,4084,103226,16934,2628,21806,61859
Itapecuru Mirim (MA),2021,772940,85268,687672,27885,100513,292814,266459
Itinga do Maranhão (MA),2021,489270,28122,461148,220744,17201,119621,103583
Jatobá (MA),2021,75706,2419,73287,17338,2270,12499,41179
Jenipapo dos Vieiras (MA),2021,125762,2842,122920,33491,2736,18160,68533
João Lisboa (MA),2021,270665,14716,255948,44486,24709,77205,109549
Joselândia (MA),2021,116564,5614,110950,13137,11360,29456,56998
Junco do Maranhão (MA),2021,61714,2787,58927,19991,1366,13851,23719
Lago da Pedra (MA),2021,550477,43881,506595,74293,31694,213773,186835
Lago do Junco (MA),2021,86662,3001,83661,9916,4354,18823,50569
Lago Verde (MA),2021,135765,4897,130868,28547,3642,28605,70074
Lagoa do Mato (MA),2021,97026,3962,93064,24543,2797,20839,44885
Lago dos Rodrigues (MA),2021,83998,4660,79338,14332,4200,25897,34908
Lagoa Grande do Maranhão (MA),2021,102454,5015,97439,20493,2792,25502,48652
Lajeado Novo (MA),2021,101485,6064,95421,31153,2668,25639,35961
Lima Campos (MA),2021,274574,9595,264979,8084,131762,60973,64160
Loreto (MA),2021,413287,9964,403323,273396,12933,65272,51723
Luís Domingues (MA),2021,57351,2651,54700,7881,1966,14781,30072
Magalhães de Almeida (MA),2021,140989,6137,134852,24589,5145,32869,72250
Maracaçumé (MA),2021,207076,16633,190443,28033,18324,69631,74454
Marajá do Sena (MA),2021,90824,2236,88587,34659,1910,13844,38174
Maranhãozinho (MA),2021,120934,5738,115195,27163,3810,23618,60603
Mata Roma (MA),2021,179239,8109,171130,24299,18690,43650,84490
Matinha (MA),2021,196785,10119,186666,31640,9233,51197,94595
Matões (MA),2021,256405,10804,245601,45275,7910,56395,136021
Matões do Norte (MA),2021,99343,1810,97532,12827,2972,14377,67356
Milagres do Maranhão (MA),2021,64355,1605,62751,17651,1677,10178,33244
Mirador (MA),2021,277841,9576,268266,122467,8026,59785,77988
Miranda do Norte (MA),2021,788634,63861,724773,15486,508601,79810,120877
Mirinzal (MA),2021,112073,6926,105147,6055,4025,38599,56467
Monção (MA),2021,257693,9190,248503,57502,8049,47683,135269
Montes Altos (MA),2021,86501,3264,83238,27937,3356,17210,34735
Morros (MA),2021,149936,9343,140593,6624,5158,46543,82268
Nina Rodrigues (MA),2021,88539,2850,85689,4938,3815,16687,60249
Nova Colinas (MA),2021,86441,2506,83935,40763,2533,13909,26730
Nova Iorque (MA),2021,50977,1900,49077,14167,1712,10518,22680
Nova Olinda do Maranhão (MA),2021,183185,7296,175889,41480,4445,37201,92764
Olho d'Água das Cunhãs (MA),2021,188405,10062,178343,34631,5319,49650,88743
Olinda Nova do Maranhão (MA),2021,107307,5863,101444,12071,2987,27451,58935
Paço do Lumiar (MA),2021,1240527,113046,1127481,23652,136982,509051,457795
Palmeirândia (MA),2021,139135,4903,134231,19362,4489,29439,80942
Paraibano (MA),2021,183383,12244,171139,29922,7572,55333,78312
Parnarama (MA),2021,323004,13895,309108,85304,14278,68777,140750
Passagem Franca (MA),2021,200120,9765,190355,52083,6473,55927,75871
Pastos Bons (MA),2021,309545,16669,292875,77685,51740,70373,93078
Paulino Neves (MA),2021,118360,6434,111926,8246,3416,28041,72223
Paulo Ramos (MA),2021,194181,10923,183258,30695,6197,56087,90279
Pedreiras (MA),2021,787721,71118,716603,20048,189375,357611,149570
Pedro do Rosário (MA),2021,157904,5792,152112,17744,3978,30904,99486
Penalva (MA),2021,253791,11907,241884,28957,12353,58636,141939
Peri Mirim (MA),2021,95959,4237,91722,9926,2888,22655,56253
Peritoró (MA),2021,230472,21522,208950,17017,7137,86208,98587
Pindaré-Mirim (MA),2021,296247,21113,275134,23686,19494,92233,139720
Pinheiro (MA),2021,1040054,116277,923777,61755,67501,484896,309626
Pio XII (MA),2021,191368,11942,179426,22774,9140,57205,90306
Pirapemas (MA),2021,130801,5123,125677,11327,4390,29729,80232
Poção de Pedras (MA),2021,163110,7312,155798,30666,4369,46819,73944
Porto Franco (MA),2021,1026129,147920,878209,57602,403830,307435,109341
Porto Rico do Maranhão (MA),2021,45867,1766,44101,8348,1650,9030,25073
Presidente Dutra (MA),2021,755768,103987,651781,36345,33513,405626,176296
Presidente Juscelino (MA),2021,84499,1876,82623,17924,2360,13183,49156
Presidente Médici (MA),2021,60695,2420,58275,15295,1600,12510,28869
Presidente Sarney (MA),2021,165015,3633,161382,34967,4937,28541,92937
Presidente Vargas (MA),2021,76191,2862,73329,5041,2033,14784,51472
Primeira Cruz (MA),2021,89108,1637,87471,10859,2986,13736,59889
Raposa (MA),2021,286199,20803,265396,20140,37208,90771,117277
Riachão (MA),2021,673241,24716,648524,415922,21629,119841,91133
Ribamar Fiquene (MA),2021,124208,4447,119761,47433,15805,22556,33966
Rosário (MA),2021,443240,42934,400307,11962,52743,174373,161229
Sambaíba (MA),2021,474716,14811,459904,344739,14033,74529,26603
Santa Filomena do Maranhão (MA),2021,60216,2374,57842,11988,1798,12531,31525
Santa Helena (MA),2021,358032,21474,336558,37595,9881,108542,180540
Santa Inês (MA),2021,1466090,198249,1267841,36783,67379,801364,362314
Santa Luzia (MA),2021,743553,40156,703396,179715,21302,201566,300813
Santa Luzia do Paruá (MA),2021,253366,18808,234558,49972,8067,86666,89853
Santa Quitéria do Maranhão (MA),2021,218496,12770,205726,22557,7924,63986,111259
Santa Rita (MA),2021,354687,40350,314337,13126,29885,127701,143626
Santana do Maranhão (MA),2021,74107,3194,70913,5895,3068,15498,46451
Santo Amaro do Maranhão (MA),2021,95956,3228,92728,9667,2450,20307,60304
Santo Antônio dos Lopes (MA),2021,3055591,108649,2946942,16896,2749058,85945,95043
São Benedito do Rio Preto (MA),2021,143478,6687,136792,7465,5769,37683,85875
São Bento (MA),2021,312229,17058,295170,13872,12101,97433,171765
São Bernardo (MA),2021,281230,19514,261717,42639,13994,84789,120295
São Domingos do Azeitão (MA),2021,320539,28206,292333,147739,8446,101827,34322
São Domingos do Maranhão (MA),2021,355969,26571,329398,50277,16254,132614,130252
São Félix de Balsas (MA),2021,86169,2772,83398,45018,3139,13132,22109
São Francisco do Brejão (MA),2021,121274,5245,116029,37260,5646,23814,49309
São Francisco do Maranhão (MA),2021,98997,3016,95981,20307,3572,19832,52270
São João Batista (MA),2021,135625,4983,130642,18438,3548,32349,76306
São João do Carú (MA),2021,123039,4015,119024,22003,2758,24306,69958
São João do Paraíso (MA),2021,151478,8225,143254,57102,3607,35783,46763
São João do Soter (MA),2021,156403,3958,152445,32776,4585,27583,87502
São João dos Patos (MA),2021,341012,28186,312825,52576,22325,137180,100744
São José de Ribamar (MA),2021,2293966,260262,2033704,25861,226027,1151141,630676
São José dos Basílios (MA),2021,61953,3014,58938,11361,2207,15349,30022
São Luís (MA),2021,36535226,7508824,29026402,25578,7326938,17693956,3979931
São Luís Gonzaga do Maranhão (MA),2021,170085,6192,163894,44453,4630,34037,80773
São Mateus do Maranhão (MA),2021,429291,27697,401593,91478,16994,141048,152073
São Pedro da Água Branca (MA),2021,127634,8538,119096,21584,4947,31289,61276
